incident_id,date_key,station_id,incident_type_id,opened_at,first_response_at,resolved_at,status,severity,response_minutes,resolution_minutes,sla_response_breached_flag,sla_resolution_breached_flag,reported_channel,location_detail,operational_note,repeat_issue_flag
INC000001,20250101,ST003,IT009,2025-01-01 11:33:00,2025-01-01 11:40:00,2025-01-01 15:45:00,Resolved,Critical,7,252,N,N,Control Room,northbound platform,passenger assistance team notified,N
INC000002,20250101,ST012,IT009,2025-01-01 13:55:00,2025-01-01 13:56:00,2025-01-01 14:15:00,Resolved,Moderate,1,20,N,N,Supervisor Walkthrough,platform stairs,seen in previous two weeks,N
INC000003,20250101,ST004,IT003,2025-01-01 21:57:00,2025-01-01 22:09:00,2025-01-02 05:34:00,Resolved,Critical,12,457,Y,Y,Supervisor Walkthrough,bus interchange,repeat complaint from morning peak,N
INC000004,20250102,ST004,IT002,2025-01-02 17:02:00,2025-01-02 17:11:00,,Escalated,Major,9,,Y,N,Control Room,staffed gate line,repeat complaint from morning peak,N
INC000005,20250103,ST002,IT003,2025-01-03 17:39:00,2025-01-03 17:50:00,2025-01-03 19:00:00,Resolved,Critical,11,81,Y,N,Control Room,ticket hall,requires facilities follow-up,N
INC000006,20250104,ST010,IT010,2025-01-04 16:18:00,2025-01-04 16:19:00,2025-01-05 12:00:00,Resolved,Critical,1,1182,N,N,Station Desk,staffed gate line,reported by service controller,N
INC000007,20250105,ST016,IT001,2025-01-05 20:01:00,2025-01-05 20:50:00,2025-01-06 01:51:00,Resolved,Moderate,49,350,Y,Y,Station Desk,northbound platform,linked to crowd control plan,N
INC000008,20250105,ST001,IT003,2025-01-05 23:03:00,2025-01-05 23:18:00,2025-01-06 00:53:00,Resolved,Major,15,110,Y,N,Mobile Radio,lift lobby,linked to crowd control plan,N
INC000009,20250105,ST013,IT001,2025-01-05 13:37:00,2025-01-05 13:50:00,2025-01-05 20:59:00,Resolved,Critical,13,442,Y,Y,Supervisor Walkthrough,bus interchange,linked to crowd control plan,N
INC000010,20250105,ST003,IT009,2025-01-05 12:59:00,2025-01-05 13:14:00,2025-01-05 14:40:00,Resolved,Critical,15,101,N,N,Mobile Radio,main concourse,requires facilities follow-up,Y
