response_id,source_type,source_id,station_id,date_key,acknowledged_minutes,dispatch_minutes,site_arrival_minutes,resolution_minutes,sla_breached_flag
RT000001,Incident,INC000001,ST003,20250101,3,5,7,252,N
RT000002,Incident,INC000002,ST012,20250101,1,1,1,20,N
RT000003,Incident,INC000003,ST004,20250101,4,6,12,457,Y
RT000004,Incident,INC000004,ST004,20250102,2,7,9,,Y
RT000005,Incident,INC000005,ST002,20250103,4,7,11,81,Y
RT000006,Incident,INC000006,ST010,20250104,1,1,1,1182,N
RT000007,Incident,INC000007,ST016,20250105,19,23,49,350,Y
RT000008,Incident,INC000008,ST001,20250105,8,8,15,110,Y
RT000009,Incident,INC000009,ST013,20250105,4,7,13,442,Y
RT000010,Incident,INC000010,ST003,20250105,6,8,15,101,N
RT000011,Incident,INC000011,ST007,20250105,3,4,5,33,N
RT000012,Incident,INC000012,ST008,20250105,1,1,1,,N
RT000013,Incident,INC000013,ST002,20250106,1,1,1,2469,N
RT000014,Incident,INC000014,ST008,20250106,7,10,14,1735,N
RT000015,Incident,INC000015,ST002,20250106,3,5,7,150,N
RT000016,Incident,INC000016,ST002,20250106,5,12,19,,Y
RT000017,Incident,INC000017,ST003,20250106,4,7,10,1734,N
RT000018,Incident,INC000018,ST011,20250106,5,12,19,,N
RT000019,Incident,INC000019,ST002,20250106,4,10,15,,N
RT000020,Incident,INC000020,ST001,20250107,5,9,15,507,N
RT000021,Incident,INC000021,ST008,20250107,23,53,73,30,Y
RT000022,Incident,INC000022,ST010,20250107,12,18,30,,Y
RT000023,Incident,INC000023,ST003,20250107,1,1,1,,N
RT000024,Incident,INC000024,ST013,20250108,4,11,14,1309,N
RT000025,Incident,INC000025,ST004,20250108,7,13,18,754,N
RT000026,Incident,INC000026,ST006,20250108,28,32,70,401,Y
RT000027,Incident,INC000027,ST007,20250108,48,71,89,1669,Y
RT000028,Incident,INC000028,ST004,20250109,2,2,3,164,N
RT000029,Incident,INC000029,ST002,20250109,3,3,7,1118,Y
RT000030,Incident,INC000030,ST004,20250109,1,2,3,,N
RT000031,Incident,INC000031,ST001,20250109,18,27,57,1329,Y
RT000032,Incident,INC000032,ST002,20250110,21,36,44,414,Y
RT000033,Incident,INC000033,ST011,20250111,4,8,11,1329,N
RT000034,Incident,INC000034,ST005,20250111,27,36,61,2180,Y
RT000035,Incident,INC000035,ST010,20250111,7,22,29,433,Y
RT000036,Incident,INC000036,ST015,20250112,8,13,16,644,N
RT000037,Incident,INC000037,ST004,20250112,4,3,7,2161,N
RT000038,Incident,INC000038,ST013,20250113,16,26,50,1381,Y
RT000039,Incident,INC000039,ST005,20250113,9,16,21,172,Y
RT000040,Incident,INC000040,ST007,20250113,18,25,33,947,Y
RT000041,Incident,INC000041,ST010,20250113,4,4,8,20,N
RT000042,Incident,INC000042,ST016,20250113,20,56,68,230,Y
RT000043,Incident,INC000043,ST008,20250113,14,15,32,466,Y
RT000044,Incident,INC000044,ST004,20250113,7,13,18,309,N
RT000045,Incident,INC000045,ST004,20250114,30,48,74,175,Y
RT000046,Incident,INC000046,ST016,20250114,11,28,39,1963,N
RT000047,Incident,INC000047,ST009,20250114,4,7,10,365,N
RT000048,Incident,INC000048,ST001,20250114,2,3,4,,N
RT000049,Incident,INC000049,ST009,20250114,25,61,77,,Y
RT000050,Incident,INC000050,ST002,20250114,22,23,44,929,Y
RT000051,Incident,INC000051,ST006,20250114,21,32,47,731,Y
RT000052,Incident,INC000052,ST015,20250114,3,5,8,,N
RT000053,Incident,INC000053,ST010,20250114,3,6,7,102,N
RT000054,Incident,INC000054,ST013,20250114,4,12,16,545,Y
RT000055,Incident,INC000055,ST004,20250115,6,7,11,530,N
RT000056,Incident,INC000056,ST014,20250115,3,7,13,407,Y
RT000057,Incident,INC000057,ST015,20250115,3,4,9,69,N
RT000058,Incident,INC000058,ST001,20250115,5,13,18,,N
RT000059,Incident,INC000059,ST004,20250115,12,16,27,429,Y
RT000060,Incident,INC000060,ST007,20250115,14,27,43,610,Y
RT000061,Incident,INC000061,ST007,20250115,3,8,11,257,N
RT000062,Incident,INC000062,ST006,20250115,1,1,2,241,N
RT000063,Incident,INC000063,ST001,20250115,5,10,12,,N
RT000064,Incident,INC000064,ST014,20250116,2,4,6,816,N
RT000065,Incident,INC000065,ST005,20250116,1,2,3,564,N
RT000066,Incident,INC000066,ST008,20250116,5,6,12,297,N
RT000067,Incident,INC000067,ST003,20250116,18,27,41,2719,N
RT000068,Incident,INC000068,ST002,20250117,14,24,30,,N
RT000069,Incident,INC000069,ST002,20250117,1,1,1,725,N
RT000070,Incident,INC000070,ST007,20250117,10,14,22,317,N
RT000071,Incident,INC000071,ST010,20250118,5,11,16,459,N
RT000072,Incident,INC000072,ST012,20250118,19,19,39,20,Y
RT000073,Incident,INC000073,ST010,20250118,4,8,9,95,N
RT000074,Incident,INC000074,ST002,20250118,1,1,1,344,N
RT000075,Incident,INC000075,ST013,20250119,8,13,19,986,N
RT000076,Incident,INC000076,ST010,20250119,5,11,19,391,N
RT000077,Incident,INC000077,ST013,20250119,3,5,8,,Y
RT000078,Incident,INC000078,ST003,20250120,2,5,7,422,N
RT000079,Incident,INC000079,ST014,20250120,3,3,7,105,Y
RT000080,Incident,INC000080,ST008,20250120,20,21,40,994,N
RT000081,Incident,INC000081,ST015,20250121,2,5,6,184,Y
RT000082,Incident,INC000082,ST001,20250121,7,14,23,29,Y
RT000083,Incident,INC000083,ST002,20250121,4,6,12,,N
RT000084,Incident,INC000084,ST015,20250121,4,8,10,20,N
RT000085,Incident,INC000085,ST002,20250121,7,10,19,20,Y
RT000086,Incident,INC000086,ST003,20250121,18,37,45,,Y
RT000087,Incident,INC000087,ST010,20250121,10,27,33,264,Y
RT000088,Incident,INC000088,ST001,20250121,6,8,13,,N
RT000089,Incident,INC000089,ST003,20250121,13,16,27,,Y
RT000090,Incident,INC000090,ST012,20250122,3,3,7,21,N
