shift_id,date_key,shift_date,station_id,staff_id,shift_type,scheduled_start,scheduled_end,planned_hours,actual_hours,shift_status,missed_coverage_flag
SH000001,20250101,2025-01-01,ST001,EMP0012,Early,05:30,13:30,8,8,Completed,N
SH000002,20250101,2025-01-01,ST001,EMP0035,Day,09:00,17:00,8,8,Completed,N
SH000003,20250101,2025-01-01,ST001,EMP0047,Day,09:00,17:00,8,3.7,Partial,Y
SH000004,20250101,2025-01-01,ST001,EMP0028,Late,14:30,22:30,8,8,Completed,N
SH000005,20250101,2025-01-01,ST001,EMP0028,Late,14:30,22:30,8,8,Completed,N
SH000006,20250101,2025-01-01,ST001,EMP0062,Night,22:00,06:00,8,8,Completed,N
SH000007,20250101,2025-01-01,ST002,EMP0048,Early,05:30,13:30,8,8,Completed,N
SH000008,20250101,2025-01-01,ST002,EMP0048,Day,09:00,17:00,8,8,Completed,N
SH000009,20250101,2025-01-01,ST002,EMP0064,Day,09:00,17:00,8,8,Completed,N
SH000010,20250101,2025-01-01,ST002,EMP0058,Late,14:30,22:30,8,8,Completed,N
SH000011,20250101,2025-01-01,ST002,EMP0009,Late,14:30,22:30,8,8,Completed,N
SH000012,20250101,2025-01-01,ST002,EMP0004,Night,22:00,06:00,8,8,Completed,N
SH000013,20250101,2025-01-01,ST003,EMP0043,Early,05:30,13:30,8,8,Completed,N
SH000014,20250101,2025-01-01,ST003,EMP0049,Day,09:00,17:00,8,3.1,Partial,Y
SH000015,20250101,2025-01-01,ST003,EMP0043,Late,14:30,22:30,8,3.5,Partial,Y
SH000016,20250101,2025-01-01,ST004,EMP0020,Early,05:30,13:30,8,8,Completed,N
SH000017,20250101,2025-01-01,ST004,EMP0017,Day,09:00,17:00,8,8,Completed,N
SH000018,20250101,2025-01-01,ST004,EMP0020,Late,14:30,22:30,8,8,Completed,N
SH000019,20250101,2025-01-01,ST005,EMP0035,Early,05:30,13:30,8,8,Completed,N
SH000020,20250101,2025-01-01,ST005,EMP0062,Day,09:00,17:00,8,8,Completed,N
SH000021,20250101,2025-01-01,ST005,EMP0015,Late,14:30,22:30,8,8,Completed,N
SH000022,20250101,2025-01-01,ST006,EMP0028,Early,05:30,13:30,8,8,Completed,N
SH000023,20250101,2025-01-01,ST006,EMP0016,Day,09:00,17:00,8,3.4,Partial,Y
SH000024,20250101,2025-01-01,ST006,EMP0013,Late,14:30,22:30,8,0,No Show,Y
SH000025,20250101,2025-01-01,ST006,EMP0064,Night,22:00,06:00,8,0,Cancelled,Y
SH000026,20250101,2025-01-01,ST007,EMP0033,Early,05:30,13:30,8,8,Completed,N
SH000027,20250101,2025-01-01,ST007,EMP0003,Day,09:00,17:00,8,4.8,Partial,Y
SH000028,20250101,2025-01-01,ST007,EMP0004,Late,14:30,22:30,8,8,Completed,N
SH000029,20250101,2025-01-01,ST007,EMP0033,Night,22:00,06:00,8,8,Completed,N
SH000030,20250101,2025-01-01,ST008,EMP0043,Early,05:30,13:30,8,8,Completed,N
SH000031,20250101,2025-01-01,ST008,EMP0042,Day,09:00,17:00,8,8,Completed,N
SH000032,20250101,2025-01-01,ST008,EMP0033,Late,14:30,22:30,8,8,Completed,N
SH000033,20250101,2025-01-01,ST009,EMP0055,Early,05:30,13:30,8,8,Completed,N
SH000034,20250101,2025-01-01,ST009,EMP0055,Day,09:00,17:00,8,8,Completed,N
SH000035,20250101,2025-01-01,ST009,EMP0030,Late,14:30,22:30,8,8,Completed,N
SH000036,20250101,2025-01-01,ST010,EMP0027,Early,05:30,13:30,8,3.4,Partial,Y
SH000037,20250101,2025-01-01,ST010,EMP0042,Day,09:00,17:00,8,8,Completed,N
SH000038,20250101,2025-01-01,ST010,EMP0019,Day,09:00,17:00,8,8,Completed,N
SH000039,20250101,2025-01-01,ST010,EMP0031,Late,14:30,22:30,8,8,Completed,N
SH000040,20250101,2025-01-01,ST010,EMP0011,Late,14:30,22:30,8,8,Completed,N
SH000041,20250101,2025-01-01,ST010,EMP0019,Night,22:00,06:00,8,8,Completed,N
SH000042,20250101,2025-01-01,ST011,EMP0060,Early,05:30,13:30,8,8,Completed,N
SH000043,20250101,2025-01-01,ST011,EMP0060,Day,09:00,17:00,8,8,Completed,N
SH000044,20250101,2025-01-01,ST011,EMP0005,Late,14:30,22:30,8,8,Completed,N
SH000045,20250101,2025-01-01,ST012,EMP0050,Early,05:30,13:30,8,0,Cancelled,Y
SH000046,20250101,2025-01-01,ST012,EMP0050,Day,09:00,17:00,8,0,Cancelled,Y
SH000047,20250101,2025-01-01,ST012,EMP0059,Late,14:30,22:30,8,8,Completed,N
SH000048,20250101,2025-01-01,ST012,EMP0038,Night,22:00,06:00,8,4.6,Partial,Y
SH000049,20250101,2025-01-01,ST013,EMP0001,Early,05:30,13:30,8,3.7,Partial,Y
SH000050,20250101,2025-01-01,ST013,EMP0001,Day,09:00,17:00,8,8,Completed,N
SH000051,20250101,2025-01-01,ST013,EMP0034,Late,14:30,22:30,8,8,Completed,N
SH000052,20250101,2025-01-01,ST013,EMP0052,Night,22:00,06:00,8,8,Completed,N
SH000053,20250101,2025-01-01,ST014,EMP0001,Early,05:30,13:30,8,8,Completed,N
SH000054,20250101,2025-01-01,ST014,EMP0031,Day,09:00,17:00,8,8,Completed,N
SH000055,20250101,2025-01-01,ST014,EMP0002,Late,14:30,22:30,8,8,Completed,N
SH000056,20250101,2025-01-01,ST015,EMP0044,Early,05:30,13:30,8,0,Cancelled,Y
SH000057,20250101,2025-01-01,ST015,EMP0012,Day,09:00,17:00,8,8,Completed,N
SH000058,20250101,2025-01-01,ST015,EMP0044,Late,14:30,22:30,8,8,Completed,N
SH000059,20250101,2025-01-01,ST015,EMP0030,Night,22:00,06:00,8,3.2,Partial,Y
SH000060,20250101,2025-01-01,ST016,EMP0011,Early,05:30,13:30,8,8,Completed,N
SH000061,20250101,2025-01-01,ST016,EMP0032,Day,09:00,17:00,8,8,Completed,N
SH000062,20250101,2025-01-01,ST016,EMP0011,Late,14:30,22:30,8,8,Completed,N
SH000063,20250101,2025-01-01,ST016,EMP0011,Night,22:00,06:00,8,8,Completed,N
SH000064,20250102,2025-01-02,ST001,EMP0012,Early,05:30,13:30,8,0,Cancelled,Y
SH000065,20250102,2025-01-02,ST001,EMP0040,Day,09:00,17:00,8,8,Completed,N
SH000066,20250102,2025-01-02,ST001,EMP0057,Day,09:00,17:00,8,4.1,Partial,Y
SH000067,20250102,2025-01-02,ST001,EMP0035,Late,14:30,22:30,8,8,Completed,N
SH000068,20250102,2025-01-02,ST001,EMP0057,Late,14:30,22:30,8,8,Completed,N
SH000069,20250102,2025-01-02,ST001,EMP0012,Night,22:00,06:00,8,8,Completed,N
SH000070,20250102,2025-01-02,ST002,EMP0058,Early,05:30,13:30,8,0,Cancelled,Y
SH000071,20250102,2025-01-02,ST002,EMP0058,Day,09:00,17:00,8,8,Completed,N
SH000072,20250102,2025-01-02,ST002,EMP0010,Day,09:00,17:00,8,8,Completed,N
SH000073,20250102,2025-01-02,ST002,EMP0063,Late,14:30,22:30,8,0,Cancelled,Y
SH000074,20250102,2025-01-02,ST002,EMP0063,Late,14:30,22:30,8,8,Completed,N
SH000075,20250102,2025-01-02,ST002,EMP0064,Night,22:00,06:00,8,8,Completed,N
SH000076,20250102,2025-01-02,ST003,EMP0049,Early,05:30,13:30,8,8,Completed,N
SH000077,20250102,2025-01-02,ST003,EMP0051,Day,09:00,17:00,8,8,Completed,N
SH000078,20250102,2025-01-02,ST003,EMP0029,Late,14:30,22:30,8,0,Cancelled,Y
SH000079,20250102,2025-01-02,ST003,EMP0061,Night,22:00,06:00,8,8,Completed,N
SH000080,20250102,2025-01-02,ST004,EMP0020,Early,05:30,13:30,8,8,Completed,N
SH000081,20250102,2025-01-02,ST004,EMP0017,Day,09:00,17:00,8,8,Completed,N
SH000082,20250102,2025-01-02,ST004,EMP0020,Late,14:30,22:30,8,8,Completed,N
SH000083,20250102,2025-01-02,ST004,EMP0017,Night,22:00,06:00,8,8,Completed,N
SH000084,20250102,2025-01-02,ST005,EMP0014,Early,05:30,13:30,8,8,Completed,N
SH000085,20250102,2025-01-02,ST005,EMP0027,Day,09:00,17:00,8,8,Completed,N
SH000086,20250102,2025-01-02,ST005,EMP0015,Late,14:30,22:30,8,8,Completed,N
SH000087,20250102,2025-01-02,ST006,EMP0063,Early,05:30,13:30,8,8,Completed,N
SH000088,20250102,2025-01-02,ST006,EMP0009,Day,09:00,17:00,8,8,Completed,N
SH000089,20250102,2025-01-02,ST006,EMP0044,Late,14:30,22:30,8,8,Completed,N
SH000090,20250102,2025-01-02,ST006,EMP0009,Night,22:00,06:00,8,8,Completed,N
SH000091,20250102,2025-01-02,ST007,EMP0025,Early,05:30,13:30,8,4.4,Partial,Y
SH000092,20250102,2025-01-02,ST007,EMP0018,Day,09:00,17:00,8,8,Completed,N
SH000093,20250102,2025-01-02,ST007,EMP0025,Late,14:30,22:30,8,8,Completed,N
SH000094,20250102,2025-01-02,ST007,EMP0025,Night,22:00,06:00,8,3,Partial,Y
SH000095,20250102,2025-01-02,ST008,EMP0048,Early,05:30,13:30,8,8,Completed,N
SH000096,20250102,2025-01-02,ST008,EMP0023,Day,09:00,17:00,8,6.4,Partial,Y
SH000097,20250102,2025-01-02,ST008,EMP0033,Late,14:30,22:30,8,8,Completed,N
SH000098,20250102,2025-01-02,ST009,EMP0003,Early,05:30,13:30,8,8,Completed,N
SH000099,20250102,2025-01-02,ST009,EMP0021,Day,09:00,17:00,8,8,Completed,N
SH000100,20250102,2025-01-02,ST009,EMP0055,Late,14:30,22:30,8,6.3,Partial,Y
SH000101,20250102,2025-01-02,ST010,EMP0011,Early,05:30,13:30,8,8,Completed,N
SH000102,20250102,2025-01-02,ST010,EMP0053,Day,09:00,17:00,8,8,Completed,N
SH000103,20250102,2025-01-02,ST010,EMP0042,Day,09:00,17:00,8,8,Completed,N
SH000104,20250102,2025-01-02,ST010,EMP0027,Late,14:30,22:30,8,8,Completed,N
SH000105,20250102,2025-01-02,ST010,EMP0019,Late,14:30,22:30,8,4.2,Partial,Y
SH000106,20250102,2025-01-02,ST010,EMP0031,Night,22:00,06:00,8,8,Completed,N
SH000107,20250102,2025-01-02,ST011,EMP0045,Early,05:30,13:30,8,8,Completed,N
SH000108,20250102,2025-01-02,ST011,EMP0060,Day,09:00,17:00,8,8,Completed,N
SH000109,20250102,2025-01-02,ST011,EMP0054,Late,14:30,22:30,8,8,Completed,N
SH000110,20250102,2025-01-02,ST011,EMP0056,Night,22:00,06:00,8,8,Completed,N
SH000111,20250102,2025-01-02,ST012,EMP0050,Early,05:30,13:30,8,3.4,Partial,Y
SH000112,20250102,2025-01-02,ST012,EMP0056,Day,09:00,17:00,8,8,Completed,N
SH000113,20250102,2025-01-02,ST012,EMP0046,Late,14:30,22:30,8,5.5,Partial,Y
SH000114,20250102,2025-01-02,ST013,EMP0050,Early,05:30,13:30,8,8,Completed,N
SH000115,20250102,2025-01-02,ST013,EMP0001,Day,09:00,17:00,8,8,Completed,N
SH000116,20250102,2025-01-02,ST013,EMP0001,Late,14:30,22:30,8,8,Completed,N
SH000117,20250102,2025-01-02,ST014,EMP0031,Early,05:30,13:30,8,8,Completed,N
SH000118,20250102,2025-01-02,ST014,EMP0038,Day,09:00,17:00,8,8,Completed,N
SH000119,20250102,2025-01-02,ST014,EMP0013,Late,14:30,22:30,8,8,Completed,N
SH000120,20250102,2025-01-02,ST014,EMP0001,Night,22:00,06:00,8,0,Cancelled,Y
SH000121,20250102,2025-01-02,ST015,EMP0018,Early,05:30,13:30,8,8,Completed,N
SH000122,20250102,2025-01-02,ST015,EMP0044,Day,09:00,17:00,8,4.7,Partial,Y
SH000123,20250102,2025-01-02,ST015,EMP0044,Late,14:30,22:30,8,8,Completed,N
SH000124,20250102,2025-01-02,ST016,EMP0052,Early,05:30,13:30,8,8,Completed,N
SH000125,20250102,2025-01-02,ST016,EMP0032,Day,09:00,17:00,8,8,Completed,N
SH000126,20250102,2025-01-02,ST016,EMP0032,Late,14:30,22:30,8,8,Completed,N
SH000127,20250103,2025-01-03,ST001,EMP0035,Early,05:30,13:30,8,8,Completed,N
SH000128,20250103,2025-01-03,ST001,EMP0035,Day,09:00,17:00,8,8,Completed,N
SH000129,20250103,2025-01-03,ST001,EMP0028,Day,09:00,17:00,8,8,Completed,N
SH000130,20250103,2025-01-03,ST001,EMP0062,Late,14:30,22:30,8,8,Completed,N
SH000131,20250103,2025-01-03,ST001,EMP0028,Late,14:30,22:30,8,8,Completed,N
