support_case_id,date_key,station_id,opened_at,closed_at,case_category,case_status,priority,channel,handling_hours,sla_target_hours,sla_breached_flag,repeat_contact_flag
CASE000001,20250101,ST010,2025-01-01 14:11:00,2025-01-02 11:11:00,Information Request,Resolved,Low,Mobile App,21,24,N,N
CASE000002,20250101,ST005,2025-01-01 12:26:00,2025-01-02 19:26:00,Service Disruption Complaint,Resolved,Low,Station Desk,31,72,N,N
CASE000003,20250101,ST006,2025-01-01 20:00:00,2025-01-05 14:00:00,Delay Compensation,Resolved,Low,Mobile App,90,96,N,N
CASE000004,20250101,ST016,2025-01-01 13:48:00,2025-01-04 21:48:00,Lost Property,Resolved,Medium,Station Desk,80,72,Y,N
CASE000005,20250101,ST002,2025-01-01 21:10:00,2025-01-04 02:10:00,Staff Conduct,Resolved,Low,Web Form,53,72,N,N
CASE000006,20250102,ST009,2025-01-02 19:28:00,2025-01-06 01:28:00,Lost Property,Resolved,High,Contact Centre,78,72,Y,N
CASE000007,20250102,ST003,2025-01-02 19:22:00,,Lost Property,Open,High,Station Desk,,72,N,N
CASE000008,20250103,ST011,2025-01-03 15:17:00,2025-01-03 17:17:00,Accessibility Assistance,Resolved,Medium,Station Desk,2,12,N,N
CASE000009,20250103,ST005,2025-01-03 14:35:00,2025-01-03 16:35:00,Accessibility Assistance,Resolved,Low,Web Form,2,12,N,N
CASE000010,20250103,ST015,2025-01-03 22:17:00,2025-01-09 09:17:00,Service Disruption Complaint,Resolved,Medium,Mobile App,131,72,Y,Y
CASE000011,20250103,ST013,2025-01-03 09:05:00,2025-01-07 17:05:00,Information Request,Resolved,High,Mobile App,104,24,Y,Y
CASE000012,20250103,ST006,2025-01-03 11:17:00,2025-01-05 14:17:00,Service Disruption Complaint,Resolved,High,Email,51,72,N,N
CASE000013,20250103,ST003,2025-01-03 12:10:00,2025-01-03 13:10:00,Information Request,Resolved,Medium,Station Desk,1,24,N,N
CASE000014,20250103,ST001,2025-01-03 10:47:00,2025-01-05 19:47:00,Ticketing / Refund,Resolved,Medium,Contact Centre,57,48,Y,N
CASE000015,20250104,ST001,2025-01-04 08:26:00,2025-01-05 12:26:00,Delay Compensation,Resolved,Medium,Station Desk,28,96,N,N
CASE000016,20250104,ST005,2025-01-04 17:26:00,2025-01-10 17:26:00,Ticketing / Refund,Resolved,Low,Station Desk,144,48,Y,N
CASE000017,20250104,ST001,2025-01-04 06:17:00,,Ticketing / Refund,Escalated,Low,Contact Centre,,48,N,N
CASE000018,20250104,ST013,2025-01-04 16:09:00,2025-01-05 08:09:00,Information Request,Resolved,Medium,Web Form,16,24,N,N
CASE000019,20250104,ST010,2025-01-04 07:07:00,2025-01-07 22:07:00,Service Disruption Complaint,Resolved,Low,Contact Centre,87,72,Y,N
CASE000020,20250104,ST006,2025-01-04 15:06:00,,Ticketing / Refund,Escalated,Medium,Station Desk,,48,N,N
CASE000021,20250104,ST004,2025-01-04 20:37:00,2025-01-09 11:37:00,Information Request,Resolved,Medium,Station Desk,111,24,Y,N
CASE000022,20250105,ST016,2025-01-05 13:17:00,2025-01-13 18:17:00,Service Disruption Complaint,Resolved,Medium,Mobile App,197,72,Y,N
CASE000023,20250105,ST007,2025-01-05 13:56:00,,Delay Compensation,Open,Low,Mobile App,,96,N,N
CASE000024,20250105,ST009,2025-01-05 19:54:00,2025-01-07 07:54:00,Ticketing / Refund,Resolved,Low,Contact Centre,36,48,N,N
CASE000025,20250105,ST001,2025-01-05 10:01:00,,Accessibility Assistance,Open,Medium,Web Form,,12,N,N
CASE000026,20250105,ST006,2025-01-05 07:11:00,,Lost Property,Pending Customer,Medium,Contact Centre,,72,N,N
CASE000027,20250106,ST001,2025-01-06 11:42:00,2025-01-09 08:42:00,Delay Compensation,Resolved,Medium,Web Form,69,96,N,N
CASE000028,20250106,ST006,2025-01-06 08:55:00,2025-01-12 14:55:00,Cleanliness Complaint,Resolved,High,Email,150,36,Y,N
CASE000029,20250106,ST004,2025-01-06 18:39:00,,Delay Compensation,Open,Medium,Mobile App,,96,N,N
CASE000030,20250106,ST001,2025-01-06 15:18:00,2025-01-08 15:18:00,Lost Property,Resolved,High,Station Desk,48,72,N,N
CASE000031,20250106,ST002,2025-01-06 14:26:00,2025-01-07 07:26:00,Accessibility Assistance,Resolved,Medium,Mobile App,17,12,Y,N
CASE000032,20250106,ST001,2025-01-06 11:14:00,2025-01-06 12:14:00,Service Disruption Complaint,Resolved,Medium,Station Desk,1,72,N,N
CASE000033,20250106,ST011,2025-01-06 16:27:00,2025-01-10 22:27:00,Delay Compensation,Resolved,Medium,Contact Centre,102,96,Y,N
CASE000034,20250106,ST001,2025-01-06 19:37:00,2025-01-09 11:37:00,Ticketing / Refund,Resolved,Urgent,Contact Centre,64,48,Y,Y
CASE000035,20250107,ST005,2025-01-07 06:37:00,2025-01-09 23:37:00,Information Request,Resolved,Low,Station Desk,65,24,Y,N
CASE000036,20250107,ST003,2025-01-07 12:52:00,2025-01-07 17:52:00,Accessibility Assistance,Resolved,High,Station Desk,5,12,N,N
CASE000037,20250108,ST009,2025-01-08 17:24:00,2025-01-09 07:24:00,Ticketing / Refund,Resolved,Low,Contact Centre,14,48,N,N
CASE000038,20250108,ST016,2025-01-08 18:37:00,2025-01-09 10:37:00,Information Request,Resolved,Low,Mobile App,16,24,N,Y
CASE000039,20250108,ST005,2025-01-08 09:48:00,2025-01-11 06:48:00,Ticketing / Refund,Resolved,Urgent,Mobile App,69,48,Y,Y
CASE000040,20250109,ST008,2025-01-09 07:58:00,,Accessibility Assistance,Pending Customer,Urgent,Mobile App,,12,N,Y
CASE000041,20250109,ST004,2025-01-09 17:26:00,2025-01-12 04:26:00,Staff Conduct,Resolved,Low,Contact Centre,59,72,N,N
CASE000042,20250109,ST014,2025-01-09 14:45:00,2025-01-10 01:45:00,Accessibility Assistance,Resolved,Medium,Email,11,12,N,N
CASE000043,20250109,ST009,2025-01-09 10:45:00,2025-01-09 11:45:00,Ticketing / Refund,Resolved,Low,Email,1,48,N,N
CASE000044,20250109,ST015,2025-01-09 14:40:00,,Ticketing / Refund,Open,Low,Web Form,,48,N,Y
CASE000045,20250109,ST016,2025-01-09 22:36:00,,Staff Conduct,Escalated,Low,Mobile App,,72,N,N
CASE000046,20250109,ST004,2025-01-09 08:45:00,2025-01-12 20:45:00,Staff Conduct,Resolved,Medium,Email,84,72,Y,N
CASE000047,20250110,ST001,2025-01-10 11:33:00,,Information Request,Escalated,Medium,Mobile App,,24,N,N
CASE000048,20250110,ST007,2025-01-10 08:25:00,,Service Disruption Complaint,Pending Customer,Low,Contact Centre,,72,N,N
CASE000049,20250110,ST010,2025-01-10 14:45:00,2025-01-12 12:45:00,Cleanliness Complaint,Resolved,Medium,Contact Centre,46,36,Y,N
CASE000050,20250110,ST002,2025-01-10 20:48:00,2025-01-16 22:48:00,Service Disruption Complaint,Resolved,Medium,Station Desk,146,72,Y,N
CASE000051,20250110,ST005,2025-01-10 15:22:00,2025-01-16 03:22:00,Delay Compensation,Resolved,High,Email,132,96,Y,N
CASE000052,20250111,ST003,2025-01-11 13:01:00,2025-01-14 13:01:00,Delay Compensation,Resolved,High,Email,72,96,N,Y
CASE000053,20250111,ST001,2025-01-11 12:04:00,2025-01-12 00:04:00,Accessibility Assistance,Resolved,High,Email,12,12,N,N
CASE000054,20250111,ST010,2025-01-11 15:40:00,2025-01-13 00:40:00,Information Request,Resolved,Medium,Contact Centre,33,24,Y,N
CASE000055,20250111,ST014,2025-01-11 19:03:00,,Ticketing / Refund,Pending Customer,Medium,Mobile App,,48,N,N
CASE000056,20250111,ST013,2025-01-11 06:40:00,2025-01-14 16:40:00,Service Disruption Complaint,Resolved,Medium,Web Form,82,72,Y,Y
CASE000057,20250112,ST010,2025-01-12 14:50:00,2025-01-16 09:50:00,Delay Compensation,Resolved,Low,Web Form,91,96,N,N
CASE000058,20250112,ST002,2025-01-12 12:00:00,,Information Request,Escalated,High,Email,,24,N,N
CASE000059,20250113,ST001,2025-01-13 18:34:00,,Lost Property,Open,Low,Email,,72,N,N
CASE000060,20250113,ST008,2025-01-13 12:19:00,2025-01-15 11:19:00,Cleanliness Complaint,Resolved,Medium,Contact Centre,47,36,Y,N
CASE000061,20250113,ST009,2025-01-13 22:35:00,2025-01-13 23:35:00,Lost Property,Resolved,Medium,Email,1,72,N,Y
CASE000062,20250113,ST011,2025-01-13 16:11:00,2025-01-14 11:11:00,Ticketing / Refund,Resolved,Low,Mobile App,19,48,N,N
CASE000063,20250113,ST014,2025-01-13 14:24:00,2025-01-14 19:24:00,Cleanliness Complaint,Resolved,Low,Contact Centre,29,36,N,N
CASE000064,20250113,ST002,2025-01-13 17:34:00,2025-01-14 13:34:00,Staff Conduct,Resolved,Medium,Contact Centre,20,72,N,N
CASE000065,20250113,ST002,2025-01-13 20:39:00,2025-01-14 08:39:00,Accessibility Assistance,Resolved,Medium,Station Desk,12,12,N,N
CASE000066,20250113,ST013,2025-01-13 10:09:00,2025-01-16 16:09:00,Service Disruption Complaint,Resolved,Medium,Contact Centre,78,72,Y,N
CASE000067,20250114,ST016,2025-01-14 08:08:00,2025-01-21 03:08:00,Information Request,Resolved,High,Mobile App,163,24,Y,N
CASE000068,20250114,ST001,2025-01-14 19:20:00,2025-01-17 10:20:00,Delay Compensation,Resolved,High,Station Desk,63,96,N,N
CASE000069,20250114,ST014,2025-01-14 08:35:00,2025-01-17 16:35:00,Service Disruption Complaint,Resolved,Medium,Web Form,80,72,Y,N
CASE000070,20250115,ST011,2025-01-15 21:02:00,2025-01-17 02:02:00,Service Disruption Complaint,Resolved,Medium,Station Desk,29,72,N,N
CASE000071,20250115,ST006,2025-01-15 09:10:00,2025-01-19 02:10:00,Service Disruption Complaint,Resolved,High,Email,89,72,Y,N
CASE000072,20250115,ST011,2025-01-15 13:16:00,2025-01-16 01:16:00,Ticketing / Refund,Resolved,High,Station Desk,12,48,N,N
CASE000073,20250115,ST002,2025-01-15 19:41:00,2025-01-16 20:41:00,Lost Property,Resolved,Medium,Mobile App,25,72,N,N
CASE000074,20250115,ST001,2025-01-15 14:30:00,2025-01-22 17:30:00,Staff Conduct,Resolved,Medium,Mobile App,171,72,Y,N
CASE000075,20250115,ST003,2025-01-15 21:00:00,2025-01-16 10:00:00,Accessibility Assistance,Resolved,High,Email,13,12,Y,N
CASE000076,20250115,ST003,2025-01-15 09:01:00,2025-01-16 01:01:00,Accessibility Assistance,Resolved,Medium,Email,16,12,Y,N
CASE000077,20250115,ST013,2025-01-15 16:28:00,,Staff Conduct,Open,Medium,Contact Centre,,72,N,N
CASE000078,20250116,ST006,2025-01-16 12:30:00,2025-01-17 11:30:00,Staff Conduct,Resolved,High,Station Desk,23,72,N,Y
CASE000079,20250116,ST002,2025-01-16 21:54:00,,Ticketing / Refund,Open,Medium,Contact Centre,,48,N,N
CASE000080,20250116,ST001,2025-01-16 20:18:00,2025-01-21 18:18:00,Service Disruption Complaint,Resolved,High,Web Form,118,72,Y,N
CASE000081,20250117,ST015,2025-01-17 18:06:00,,Lost Property,Pending Customer,Medium,Email,,72,N,Y
CASE000082,20250117,ST001,2025-01-17 07:58:00,2025-01-18 13:58:00,Information Request,Resolved,Medium,Contact Centre,30,24,Y,N
CASE000083,20250117,ST016,2025-01-17 17:51:00,2025-01-21 02:51:00,Service Disruption Complaint,Resolved,Medium,Station Desk,81,72,Y,Y
CASE000084,20250117,ST008,2025-01-17 19:24:00,2025-01-21 02:24:00,Service Disruption Complaint,Resolved,Medium,Email,79,72,Y,N
CASE000085,20250118,ST010,2025-01-18 12:09:00,2025-01-18 20:09:00,Ticketing / Refund,Resolved,High,Station Desk,8,48,N,N
CASE000086,20250118,ST008,2025-01-18 22:30:00,2025-01-22 19:30:00,Delay Compensation,Resolved,Medium,Email,93,96,N,N
CASE000087,20250119,ST002,2025-01-19 08:02:00,,Lost Property,Pending Customer,High,Contact Centre,,72,N,Y
CASE000088,20250119,ST006,2025-01-19 19:22:00,2025-01-21 21:22:00,Cleanliness Complaint,Resolved,Medium,Email,50,36,Y,N
CASE000089,20250119,ST006,2025-01-19 21:15:00,2025-01-22 04:15:00,Service Disruption Complaint,Resolved,Medium,Station Desk,55,72,N,N
