month_key,station_id,incident_count,support_case_count,resolved_incident_count,resolved_support_case_count,open_incident_count,avg_response_minutes,staffing_coverage_pct,incident_resolution_rate_pct,sla_breach_rate_pct,station_risk_score,monthly_incident_growth_pct
2025-01,ST001,12,19,6,13,6,18.3,87.5,50,25,38.3,
2025-02,ST001,18,23,16,19,2,30.2,88.8,88.9,50,44,50
2025-03,ST001,6,17,6,13,0,18.5,90.6,100,33.3,24.3,-66.7
2025-04,ST001,12,17,8,12,4,24.5,93.2,66.7,41.7,38.9,100
2025-05,ST001,15,27,15,21,0,26.1,87.6,100,33.3,33.6,25
2025-06,ST001,7,21,5,14,2,32,88.8,71.4,57.1,34.2,-53.3
2025-07,ST001,11,18,8,14,3,35.9,91.4,72.7,72.7,50.6,57.1
2025-08,ST001,20,19,18,15,2,21.3,92.1,90,40,43.5,81.8
2025-09,ST001,17,16,15,10,2,28.7,92.6,88.2,64.7,47.1,-15
2025-10,ST001,5,15,5,10,0,44.6,84.9,100,60,36.9,-70.6
2025-11,ST001,13,17,12,11,1,16.9,90.9,92.3,53.8,43.7,160
2025-12,ST001,19,15,15,14,4,27,88.7,78.9,57.9,54.8,46.2
2026-01,ST001,10,22,10,17,0,13.6,89.6,100,10,14.2,-47.4
2026-02,ST001,18,18,16,10,2,29.8,92.4,88.9,50,42.2,80
2026-03,ST001,11,13,11,11,0,39.9,87.6,100,54.5,36.4,-38.9
2026-04,ST001,14,16,10,11,4,31.4,88.7,71.4,57.1,50.9,27.3
2025-01,ST002,15,12,11,9,4,18.9,88.3,73.3,46.7,45.6,
2025-02,ST002,6,15,5,12,1,16.8,90.2,83.3,33.3,22.3,-60
2025-03,ST002,14,10,13,7,1,16,91.2,92.9,50,36,133.3
2025-04,ST002,11,14,8,10,3,41,89.9,72.7,72.7,51.4,-21.4
2025-05,ST002,9,14,7,12,2,24.2,90.8,77.8,66.7,43.9,-18.2
2025-06,ST002,10,20,8,15,2,18.8,91.9,80,60,35.3,11.1
2025-07,ST002,11,14,10,11,1,15,89.9,90.9,45.5,32,10
2025-08,ST002,12,11,11,8,1,21.7,91.9,91.7,41.7,34.6,9.1
2025-09,ST002,13,14,11,13,2,30.8,94,84.6,46.2,33.3,8.3
2025-10,ST002,17,12,15,10,2,27.9,92.1,88.2,64.7,47.3,30.8
2025-11,ST002,10,17,6,7,4,35.8,88.9,60,70,53.5,-41.2
2025-12,ST002,9,21,8,18,1,21.9,90.3,88.9,66.7,38.7,-10
2026-01,ST002,10,14,10,10,0,29.8,92.4,100,60,44.3,11.1
2026-02,ST002,10,12,10,10,0,28.4,90.6,100,70,40.3,0
2026-03,ST002,11,15,10,10,1,39.7,91.3,90.9,54.5,34.4,10
2026-04,ST002,11,10,7,8,4,30.1,91.5,63.6,36.4,35.2,0
2025-01,ST003,9,12,6,8,3,20.4,91.9,66.7,33.3,31,
2025-02,ST003,11,7,11,6,0,25.5,92.9,100,63.6,39.5,22.2
2025-03,ST003,13,8,11,7,2,16.8,86.5,84.6,38.5,32.2,18.2
2025-04,ST003,5,6,5,3,0,14.4,88,100,40,22.8,-61.5
2025-05,ST003,5,11,5,7,0,21.6,91.7,100,40,20.9,0
2025-06,ST003,7,16,6,11,1,15.1,86.8,85.7,28.6,26.9,40
2025-07,ST003,11,13,9,11,2,33.9,96.3,81.8,63.6,37.5,57.1
2025-08,ST003,9,11,9,11,0,33.9,90.3,100,55.6,32.4,-18.2
2025-09,ST003,10,13,10,9,0,22,87.8,100,40,28.4,11.1
2025-10,ST003,11,10,11,10,0,11.5,90.4,100,36.4,28.7,10
2025-11,ST003,9,15,8,9,1,29.3,89.9,88.9,66.7,35.7,-18.2
2025-12,ST003,7,11,7,7,0,20,90.4,100,28.6,26.7,-22.2
2026-01,ST003,8,12,8,8,0,33.4,91.9,100,62.5,33.8,14.3
2026-02,ST003,6,13,5,4,1,23.7,92.5,83.3,33.3,21.1,-25
2026-03,ST003,2,15,2,10,0,38.5,86.7,100,50,25.3,-66.7
